N_Scheduler,Time,N_processes,N_products
3,594,3,9001
3,619,3,9501
3,731,3,10001
3,39,4,1
3,130,4,501
3,183,4,1001
3,170,4,1501
3,179,4,2001
3,207,4,2501
3,279,4,3001
3,590,4,3501
3,349,4,4001
3,333,4,4501
3,455,4,5001
3,442,4,5501
3,434,4,6001
3,421,4,6501
3,568,4,7001
3,502,4,7501
3,510,4,8001
3,582,4,8501
3,633,4,9001
3,673,4,9501
3,541,4,10001
3,25,5,1
3,114,5,501
3,149,5,1001
3,176,5,1501
3,187,5,2001
3,221,5,2501
3,303,5,3001
3,433,5,3501
3,437,5,4001
3,489,5,4501
3,437,5,5001
3,576,5,5501
3,447,5,6001
3,466,5,6501
3,462,5,7001
3,542,5,7501
3,630,5,8001
3,541,5,8501
3,767,5,9001
3,807,5,9501
3,784,5,10001
3,39,6,1
3,147,6,501
3,193,6,1001
3,206,6,1501
3,225,6,2001
3,289,6,2501
3,326,6,3001
3,386,6,3501
3,371,6,4001
3,431,6,4501
3,473,6,5001
3,501,6,5501
3,539,6,6001
3,485,6,6501
3,506,6,7001
3,590,6,7501
3,605,6,8001
3,550,6,8501
3,754,6,9001
3,790,6,9501
3,820,6,10001
3,51,7,1
3,188,7,501
3,242,7,1001
3,289,7,1501
3,292,7,2001
3,314,7,2501
3,377,7,3001
3,450,7,3501
3,431,7,4001
3,488,7,4501
3,596,7,5001
3,589,7,5501
3,514,7,6001
3,493,7,6501
3,577,7,7001
3,597,7,7501
3,620,7,8001
3,604,7,8501
3,942,7,9001
3,821,7,9501
3,1060,7,10001
3,63,8,1
3,163,8,501
3,217,8,1001
3,324,8,1501
3,322,8,2001
3,371,8,2501
3,398,8,3001
3,490,8,3501
3,464,8,4001
3,430,8,4501
3,427,8,5001
3,542,8,5501
3,685,8,6001
3,707,8,6501
3,793,8,7001
3,848,8,7501
3,741,8,8001
3,697,8,8501
3,1010,8,9001
3,1059,8,9501
3,1029,8,10001
3,77,16,1
3,178,16,501
3,239,16,1001
3,343,16,1501
3,447,16,2001
3,586,16,2501
3,783,16,3001
3,1070,16,3501
3,804,16,4001
3,891,16,4501
3,820,16,5001
3,1187,16,5501
3,1324,16,6001
3,1106,16,6501
3,1211,16,7001
3,1279,16,7501
3,1232,16,8001
3,1250,16,8501
3,1778,16,9001
3,1718,16,9501
3,1818,16,10001
3,101,24,1
3,268,24,501
3,377,24,1001
3,552,24,1501
3,528,24,2001
3,708,24,2501
3,798,24,3001
3,1023,24,3501
3,1104,24,4001
3,1235,24,4501
3,1123,24,5001
3,1557,24,5501
3,1925,24,6001
3,1805,24,6501
3,2205,24,7001
3,2420,24,7501
3,2161,24,8001
3,1689,24,8501
3,2364,24,9001
3,3424,24,9501
3,2576,24,10001
